model,evaluation_set,num_samples,spearman_1s_formatted,spearman_5s_formatted,spearman_10s_formatted
CTGNN,all_event_times,70804.0000 ± 0.0000,0.1041 ± 0.0219,0.0785 ± 0.1085,\textbf{0.1883 ± 0.0177}
CTGNN,deeplob_aligned_times,5476.0000 ± 0.0000,0.0648 ± 0.0395,0.0162 ± 0.1013,0.1473 ± 0.0172
DeepLOB,deeplob_aligned_times,5476.0000 ± 0.0000,-0.1223 ± 0.0634,-0.0500 ± 0.1429,-0.0693 ± 0.1614
CTGNN,static_gcn_aligned_times,872.0000 ± 0.0000,0.0636 ± 0.0332,-0.0720 ± 0.0827,0.0506 ± 0.0114
StaticGCN,static_gcn_aligned_times,872.0000 ± 0.0000,-0.0791 ± 0.0187,-0.1434 ± 0.1332,-0.2278 ± 0.1744
Persistence,continuous_fold_test_times,,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
RollingMean,continuous_fold_test_times,,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
RidgeClean,continuous_fold_test_times,,\textbf{0.4935 ± 0.0976},\textbf{0.2412 ± 0.1391},0.1674 ± 0.1292
RidgeShuffledY,continuous_fold_test_times,,0.0499 ± 0.1367,0.0378 ± 0.0795,0.0599 ± 0.1091
RidgeTimestampPermuted,continuous_fold_test_times,,0.0070 ± 0.0134,-0.0012 ± 0.0095,-0.0066 ± 0.0150
